review_id,entity_type,entity_text,start_position,end_position,context
38,BACKREST,back-rest,24,33,"Head-rest, leg-rest and back-rest angles are individually adjus"
39,LUMBAR_SUPPORT,lumbar support,21,35,"After two hours, the lumbar support felt slightly stiff; a small "
39,CUSHION,cushion,65,72, felt slightly stiff; a small cushion fixed it.
40,CUSHION,cushion,44,51,attresses might find the seat cushion a touch hard; I prefer it tha
41,HEADREST,head-rest,10,19,"My seat’s head-rest doesn’t adjust, so a taller f"
42,RECLINER,recline,8,15,At full recline the seat cushion aligns flush
42,CUSHION,cushion,25,32,At full recline the seat cushion aligns flush with the foot-re
42,FOOTREST,foot-rest,55,64,cushion aligns flush with the foot-rest—no uncomfortable gaps.
43,CUSHION,cushion,35,42,"y track section woke me; seat cushion damped most, but head-rest ra"
43,HEADREST,head-rest,60,69,"seat cushion damped most, but head-rest rattled slightly."
44,HEADREST,Head-rest,0,9,Head-rest angles are fixed; bringing a 
45,FOOTREST,Legroom,0,7,Legroom is immense; even with seat fo
46,CUSHION,cushion,10,17,The split cushion design reduces pressure on ta
47,MATERIAL,fabric,5,11,Seat fabric at the arm-rest edge feels st
47,CUSHION,cushion,59,66,dge feels stiff—glad the main cushion is leather.
47,MATERIAL,leather,70,77,tiff—glad the main cushion is leather.
48,LUMBAR_SUPPORT,lumbar profile,60,74,esh—credit goes to the seat’s lumbar profile and massage.
48,SEAT_MESSAGE,massage,79,86,the seat’s lumbar profile and massage.
49,RECLINER,recliner,107,115,uite is undoubtedly the smart recliner chair... fully reclinable to 
49,RECLINER,reclinable,131,141,smart recliner chair... fully reclinable to a flat bed... built-in ven
49,SEAT_WARMER,warming,181,188," bed... built-in ventilation, warming, and even massage functions.."
49,SEAT_MESSAGE,massage functions,199,216,"entilation, warming, and even massage functions... a personal tablet loaded w"
50,ARMREST,armrests,38,46,"s are narrow due to the fixed armrests, and the material is too firm"
50,MATERIAL,material,56,64,"o the fixed armrests, and the material is too firm. For the price, I"
51,ARMREST,armrests,148,156,"t's a bit hard, and the fixed armrests limit the space."
52,HEADREST,headrest,57,65,"h. They are too firm, and the headrest isn't adjustable. For such an"
53,RECLINER,recline,27,34,"The seats are decent. They recline fully, which is good, but the"
53,CUSHION,cushioned,80,89," good, but they could be more cushioned. The privacy makes up for it,"
54,ARMREST,armrests,54,62,"ut I've had better. The fixed armrests are a bit annoying, and the s"
55,ARMREST,armrests,78,86,"e hard and narrow, with fixed armrests that make sleeping difficult."
55,RECLINER,reclining,132,141,"ing difficult. Even with full reclining, I couldn’t rest well. The pr"
56,HEADREST,headrests,74,83,"’re spacious, with adjustable headrests and footrests. The massage fe"
56,FOOTREST,footrests,88,97,with adjustable headrests and footrests. The massage feature was a ga
56,SEAT_MESSAGE,massage feature,103,118, headrests and footrests. The massage feature was a game-changer for relaxa
57,ARMREST,armrests,112,120,"’re a bit hard, and the fixed armrests are inconvenient. Still, the "
58,RECLINER,recline,63,70,"ment. The seats are plush and recline fully, perfect for resting. T"
58,SEAT_MESSAGE,massage function,103,119,"lly, perfect for resting. The massage function was a nice touch, though the "
58,HEADREST,headrest,149,157," was a nice touch, though the headrest could be more adjustable."
59,ARMREST,armrests,58,66,"ey’re too firm, and the fixed armrests make them feel cramped. Recli"
59,RECLINER,Reclining,91,100,rests make them feel cramped. Reclining didn’t help much for sleeping
60,RECLINER,reclining,93,102,"t great for sleeping, despite reclining fully. The fixed armrests and"
60,ARMREST,armrests,120,128,te reclining fully. The fixed armrests and lack of headrest adjustme
60,HEADREST,headrest,141,149,he fixed armrests and lack of headrest adjustment were frustrating.
61,ARMREST,armrests,80,88,"e hard and narrow, with fixed armrests that limit movement. Sleeping"
61,RECLINER,reclining,150,159,"as uncomfortable, despite the reclining feature."
62,CUSHION,cushions,47,55,"eats are luxurious, with soft cushions and full reclining. The massa"
62,RECLINER,reclining,65,74,", with soft cushions and full reclining. The massage function helped "
62,SEAT_MESSAGE,massage,80,87,"hions and full reclining. The massage function helped me relax, and"
63,ARMREST,armrests,112,120," firm for sleeping. The fixed armrests were annoying, but the privac"
64,ARMREST,armrests,67,75,". They’re hard, and the fixed armrests make them feel cramped. Recli"
64,RECLINER,Reclining,100,109,rests make them feel cramped. Reclining didn’t help much for sleeping
65,RECLINER,reclining,58,67,"aking sleeping difficult. The reclining feature is nice, but the fixe"
65,ARMREST,armrests,99,107,"eature is nice, but the fixed armrests and lack of cushioning were d"
65,CUSHION,cushioning,120,130,he fixed armrests and lack of cushioning were drawbacks. The privacy w
66,ARMREST,armrests,72,80,"e firm and narrow, with fixed armrests that make sleeping awkward. T"
67,ARMREST,armrests,75,83,". They’re hard, and the fixed armrests limit movement. Sleeping was "
67,RECLINER,reclining,132,141,"eeping was tough, despite the reclining feature. Not worth the cost."
68,CUSHION,cushions,47,55,"eats are luxurious, with soft cushions and full reclining. The massa"
68,RECLINER,reclining,65,74,", with soft cushions and full reclining. The massage function was a n"
68,SEAT_MESSAGE,massage,80,87,"hions and full reclining. The massage function was a nice touch, an"
69,RECLINER,recline,40,47,"were okay but not great. They recline fully, but they’re firm, and "
69,ARMREST,armrests,87,95,"t they’re firm, and the fixed armrests are inconvenient. The privacy"
70,RECLINER,reclining,90,99,"g sleeping uncomfortable. The reclining feature didn’t help much, and"
70,ARMREST,armrests,140,148,"dn’t help much, and the fixed armrests were a hassle."
71,RECLINER,reclining,58,67,"aking sleeping difficult. The reclining feature is good, but the fixe"
71,ARMREST,armrests,99,107,"eature is good, but the fixed armrests and lack of cushioning were d"
71,CUSHION,cushioning,120,130,he fixed armrests and lack of cushioning were drawbacks. Privacy was g
72,ARMREST,armrests,98,106,rtive for sleeping. The fixed armrests and lack of headrest adjustme
72,HEADREST,headrest,119,127,he fixed armrests and lack of headrest adjustment were frustrating.
73,ARMREST,armrests,74,82,". They’re firm, and the fixed armrests make them feel cramped. Sleep"
73,RECLINER,reclining,139,148,"eeping was tough, despite the reclining feature."
74,ARMREST,armrests,76,84,"e hard and narrow, with fixed armrests that limit movement. Sleeping"
74,RECLINER,reclining,142,151,"ng was uncomfortable, despite reclining fully."
75,RECLINER,reclining,104,113,"s make them feel cramped. The reclining feature is nice, but it didn’"
75,ARMREST,armrests,67,75,". They’re firm, and the fixed armrests make them feel cramped. The r"
76,CUSHION,cushions,47,55,"eats are luxurious, with soft cushions and full reclining. The massa"
76,RECLINER,reclining,65,74,", with soft cushions and full reclining. The massage function was a h"
77,ARMREST,armrests,105,113,sleeping difficult. The fixed armrests and lack of cushioning were m
77,CUSHION,cushioning,126,136,he fixed armrests and lack of cushioning were major drawbacks.
78,ARMREST,armrests,72,80,"e firm and narrow, with fixed armrests that make sleeping awkward. T"
79,ARMREST,armrests,75,83,". They’re hard, and the fixed armrests limit movement. Sleeping was "
79,RECLINER,reclining,132,141,"eeping was tough, despite the reclining feature."
80,RECLINER,recline,46,53,"kay but not exceptional. They recline fully, but they’re firm, and "
80,ARMREST,armrests,93,101,"t they’re firm, and the fixed armrests are inconvenient. The privacy"
81,ARMREST,armrests,100,108,rtive for sleeping. The fixed armrests and lack of headrest adjustme
81,HEADREST,headrest,121,129,he fixed armrests and lack of headrest adjustment were frustrating.
82,CUSHION,cushions,47,55,"eats are luxurious, with soft cushions and adjustable features. I sl"
83,RECLINER,reclining,58,67,"aking sleeping difficult. The reclining feature is good, but the fixe"
83,ARMREST,armrests,99,107,"eature is good, but the fixed armrests and lack of cushioning were d"
83,CUSHION,cushioning,120,130,he fixed armrests and lack of cushioning were drawbacks. Privacy was n
84,ARMREST,armrests,67,75,". They’re firm, and the fixed armrests make them feel cramped. The r"
84,RECLINER,reclining,104,113,"s make them feel cramped. The reclining feature is nice, but it didn’"
85,ARMREST,armrests,101,109,sleeping difficult. The fixed armrests and lack of cushioning were m
85,CUSHION,cushioning,122,132,he fixed armrests and lack of cushioning were major drawbacks.
86,ARMREST,armrests,66,74,"e firm and narrow, with fixed armrests that limit movement. Sleeping"
86,RECLINER,reclining,128,137,"eeping was tough, despite the reclining feature."
87,CUSHION,cushions,47,55,"eats are luxurious, with soft cushions and full reclining. The massa"
87,RECLINER,reclining,65,74,", with soft cushions and full reclining. The massage function helped "
88,ARMREST,armrests,74,82,". They’re hard, and the fixed armrests make them feel cramped. Sleep"
88,RECLINER,reclining,143,152,"ng was difficult, despite the reclining feature."
89,RECLINER,recline,46,53,"kay but not exceptional. They recline fully, but they’re firm, and "
89,ARMREST,armrests,93,101,"t they’re firm, and the fixed armrests are inconvenient. The privacy"
90,ARMREST,armrests,100,108,rtive for sleeping. The fixed armrests and lack of headrest adjustme
90,HEADREST,headrest,121,129,he fixed armrests and lack of headrest adjustment were frustrating.
91,ARMREST,armrests,67,75,". They’re firm, and the fixed armrests make them feel cramped. The r"
91,RECLINER,reclining,104,113,"s make them feel cramped. The reclining feature is nice, but it didn’"
92,ARMREST,armrests,101,109,sleeping difficult. The fixed armrests and lack of cushioning were m
92,CUSHION,cushioning,122,132,he fixed armrests and lack of cushioning were major drawbacks.
93,ARMREST,armrests,66,74,"e firm and narrow, with fixed armrests that limit movement. Sleeping"
93,RECLINER,reclining,128,137,"eeping was tough, despite the reclining feature."
94,CUSHION,cushions,47,55,"eats are luxurious, with soft cushions and full reclining. The massa"
94,RECLINER,reclining,65,74,", with soft cushions and full reclining. The massage function helped "
94,SEAT_MESSAGE,massage function,80,96,"hions and full reclining. The massage function helped me relax, and the priv"
95,RECLINER,recline,74,81, seat is the star. 180-degree recline is flawless. The 'premium dee
95,SEAT_MESSAGE,Massage,191,198,"ventilation worked perfectly. Massage was decent, good for a long t"
95,ARMREST,armrest,254,261,"ng trip. Control panel on the armrest [2, 3, 4] is sleek and respon"
95,MATERIAL,premium deer skin,100,117,ree recline is flawless. The 'premium deer skin' [1] is as soft as advertised
96,RECLINER,reclined,101,109,"rtable, especially when fully reclined. The 'premium deer skin' live"
96,MATERIAL,premium deer skin,116,133,lly when fully reclined. The 'premium deer skin' lives up to the hype. Massag
96,SEAT_MESSAGE,Massage,157,164,r skin' lives up to the hype. Massage and heating functions are wel
96,SEAT_WARMER,heating,169,176,s up to the hype. Massage and heating functions are welcome additio
96,CUSHION,padding,276,283,estion would be slightly more padding on the headrest for taller in
96,HEADREST,headrest,291,299, slightly more padding on the headrest for taller individuals. Other
97,HEADREST,headrest,101,109,"able with all the adjustments—headrest, leg rest, even temperature c"
97,FOOTREST,leg rest,111,119,"all the adjustments—headrest, leg rest, even temperature control! Th"
97,SEAT_WARMER,temperature control,126,145,"ents—headrest, leg rest, even temperature control! The private compartment is a"
98,MATERIAL,leather material,29,45,"The Suite Class seat’s plush leather material is so luxurious, and the 180-"
98,RECLINER,recliner,82,90,"luxurious, and the 180-degree recliner feels like a bed. The adjusta"
98,HEADREST,headrest,124,132,ls like a bed. The adjustable headrest was perfect for my Jakarta-Yo
99,RECLINER,recliner,59,67,"eather is super soft, and the recliner goes full 180! The massage fe"
99,ARMREST,armrest,120,127,"sage feature is dope, but the armrest could be wider. #KAISuite"
99,MATERIAL,leather,28,35,"Wow, the Suite Class seat’s leather is super soft, and the reclin"
100,MATERIAL,leather,17,24,The seat’s plush leather and adjustable headrest made 
100,HEADREST,headrest,40,48, plush leather and adjustable headrest made my Surabaya trip comfy. 
100,SEAT_MESSAGE,massage function,82,98,"e my Surabaya trip comfy. The massage function is a game-changer, but the re"
100,RECLINER,recliner’s,126,136,"on is a game-changer, but the recliner’s firmness was noticeable overn"
101,RECLINER,recliner,34,42,Suite Class seat’s 180-degree recliner and leather material are top-
101,MATERIAL,leather material,47,63,eat’s 180-degree recliner and leather material are top-notch. The adjustable
101,ARMREST,armrest,94,101,"are top-notch. The adjustable armrest was a nice touch, but the sea"
102,RECLINER,recliner,30,38,"Suite Class seat is fire! The recliner goes flat, and the leather fe"
102,MATERIAL,leather,58,65,"e recliner goes flat, and the leather feels premium. The headrest a"
102,HEADREST,headrest,85,93,"he leather feels premium. The headrest adjusts perfectly, but it’s a"
103,MATERIAL,leather,29,36,The Suite Class seat’s plush leather and 180-degree recliner were 
103,RECLINER,recliner,52,60, plush leather and 180-degree recliner were fantastic. The adjustabl
103,HEADREST,headrest,92,100,"ere fantastic. The adjustable headrest added comfort, but the seat f"
104,MATERIAL,leather material,37,53,uite Class seat has luxurious leather material and a recliner that goes full
104,RECLINER,recliner,60,68,urious leather material and a recliner that goes fully flat. The arm
104,ARMREST,armrest,95,102,"ner that goes fully flat. The armrest adjusts well, but the seat’s "
105,RECLINER,recliner,52,60," leather is so comfy, and the recliner is smooth! The headrest is ad"
105,HEADREST,headrest,76,84,"d the recliner is smooth! The headrest is adjustable, but it’s a bit"
105,MATERIAL,leather,23,30,"The Suite Class seat’s leather is so comfy, and the recliner"
106,RECLINER,recliner,34,42,Suite Class seat’s 180-degree recliner and plush leather were amazin
106,MATERIAL,leather,53,60,180-degree recliner and plush leather were amazing. The adjustable 
106,ARMREST,armrest,90,97," were amazing. The adjustable armrest was great, but the seat’s fir"
107,MATERIAL,leather,30,37,"Suite Class seat is luxe—soft leather, full recliner, massage! The "
107,RECLINER,recliner,44,52,"at is luxe—soft leather, full recliner, massage! The headrest is per"
107,SEAT_MESSAGE,massage,54,61,"—soft leather, full recliner, massage! The headrest is perfect, but"
107,HEADREST,headrest,67,75,", full recliner, massage! The headrest is perfect, but the seat’s to"
108,MATERIAL,leather material,11,27,The seat’s leather material and adjustable headrest were 
108,HEADREST,headrest,43,51,ather material and adjustable headrest were highlights. The 180-degr
108,RECLINER,recliner,84,92,"re highlights. The 180-degree recliner was comfy, but the seat felt "
109,RECLINER,recliner,52,60, plush leather and 180-degree recliner were luxurious. The adjustabl
109,ARMREST,armrest,92,99,"ere luxurious. The adjustable armrest was a nice touch, but the sea"
110,MATERIAL,leather,33,40,"te Class seat is dope—premium leather, full recliner, massage! The "
110,RECLINER,recliner,47,55,"is dope—premium leather, full recliner, massage! The headrest adjust"
110,SEAT_MESSAGE,massage,57,64,"emium leather, full recliner, massage! The headrest adjusts well, b"
110,HEADREST,headrest,70,78,", full recliner, massage! The headrest adjusts well, but it’s not so"
111,HEADREST,headrest,95,103,"ere fantastic. The adjustable headrest was comfy, but the seat’s fir"
111,RECLINER,recliner,55,63,ather material and 180-degree recliner were fantastic. The adjustabl
111,MATERIAL,material,31,39,he Suite Class seat’s leather material and 180-degree recliner were 
112,RECLINER,recliner,48,56,"ass seat—soft leather, smooth recliner, massage! The armrest could b"
112,SEAT_MESSAGE,massage,58,65,"oft leather, smooth recliner, massage! The armrest could be wider, "
112,ARMREST,armrest,71,78,"smooth recliner, massage! The armrest could be wider, though. #Trai"
113,MATERIAL,leather,53,60,180-degree recliner and plush leather were perfect. The adjustable 
113,ARMREST,armrest,90,97," were perfect. The adjustable armrest was nice, but the seat felt f"
114,MATERIAL,leather,29,36,The Suite Class seat’s plush leather and 180-degree recliner were 
114,RECLINER,recliner,52,60, plush leather and 180-degree recliner were fantastic. The adjustabl
114,ARMREST,armrest,92,99,"ere fantastic. The adjustable armrest added comfort, but the seat w"
115,MATERIAL,leather,31,38,"uite Class seat is fancy—soft leather, full recliner! The armrest i"
115,RECLINER,recliner,45,53,"t is fancy—soft leather, full recliner! The armrest is adjustable, b"
115,ARMREST,armrest,59,66,"t leather, full recliner! The armrest is adjustable, but it’s too h"
116,MATERIAL,leather,23,30,The Suite Class seat’s leather material and 180-degree recli
116,ARMREST,armrest,91,98,"er were great. The adjustable armrest was nice, but the seat felt f"
116,RECLINER,recliner,55,63,ather material and 180-degree recliner were great. The adjustable ar
117,MATERIAL,leather,27,34,"Loved the Suite Class seat—leather, recliner, massage! The armre"
117,RECLINER,recliner,36,44,"the Suite Class seat—leather, recliner, massage! The armrest could b"
117,SEAT_MESSAGE,massage,46,53,"Class seat—leather, recliner, massage! The armrest could be wider, "
118,MATERIAL,leather,33,40,’s Suite Class seat has plush leather and a 180-degree recliner. Th
118,RECLINER,recliner,58,66,lush leather and a 180-degree recliner. The adjustable armrest is ni
118,ARMREST,armrest,83,90,"gree recliner. The adjustable armrest is nice, but the seat’s firmn"
119,RECLINER,recliner,52,60, plush leather and 180-degree recliner were fantastic. The adjustabl
119,ARMREST,armrest,92,99,"ere fantastic. The adjustable armrest was nice, but the seat felt n"
120,RECLINER,recliner,46,54,"Class seat—soft leather, full recliner! The armrest could be wider, "
120,MATERIAL,leather,32,39,"ved the Suite Class seat—soft leather, full recliner! The armrest c"
120,ARMREST,armrest,60,67,"t leather, full recliner! The armrest could be wider, though. #Suit"
121,RECLINER,recliner,34,42,Suite Class seat’s 180-degree recliner and leather material were gre
121,MATERIAL,leather,47,54,eat’s 180-degree recliner and leather material were great. The adju
121,ARMREST,armrest,91,98,"al were great. The adjustable armrest was nice, but the seat felt f"
122,MATERIAL,leather,33,40,’s Suite Class seat has plush leather and a 180-degree recliner. Th
122,RECLINER,recliner,58,66,lush leather and a 180-degree recliner. The adjustable armrest is ni
122,ARMREST,armrest,83,90,"gree recliner. The adjustable armrest is nice, but the seat’s firmn"
123,MATERIAL,materials,30,39,"While the seat boasts premium materials and a near-flat recline, I fo"
123,RECLINER,recline,56,63,"ium materials and a near-flat recline, I found the cushioning a bit"
123,CUSHION,cushioning,77,87,"ear-flat recline, I found the cushioning a bit too firm for my liking,"
123,SEAT_MESSAGE,massage function,166,182,"ying to sleep on my side. The massage function was a nice gimmick, but not a"
124,LUMBAR_SUPPORT,lumbar support,91,105,"est for a 7-hour journey. The lumbar support was adequate when upright, an"
124,RECLINER,recline,141,148,"dequate when upright, and the recline was smooth. The firmness for "
125,CUSHION,cushioning,101,111,"seat is great, but that extra cushioning would make it perfect for ove"
126,RECLINER,recline,44,51,"Class seat offers a fantastic recline, practically flat, which is a"
126,CUSHION,cushioning,122,132,"or train travel. However, the cushioning, while supportive for sitting"
127,CUSHION,cushioning,98,108,blanket to add a bit of extra cushioning under my hips when lying flat
128,CUSHION,cushion,125,132,travel neck pillow or a small cushion. The seat itself is fantastic
129,MATERIAL,leather,4,11,The leather seat reclines fully flat and 
129,RECLINER,reclines,17,25,The leather seat reclines fully flat and the head-rest 
129,CUSHION,cushion,87,94," plush, but I still found the cushion a bit firm for true overnight"
129,HEADREST,head-rest,45,54,"t reclines fully flat and the head-rest is plush, but I still found t"
130,BACKREST,Back-rest,0,9,"Back-rest adjusts smoothly, and the lum"
130,SEAT_MESSAGE,lumbar massage,36,50,"est adjusts smoothly, and the lumbar massage kept me from getting stiff. P"
131,LUMBAR_SUPPORT,lumbar pad,15,25,The adjustable lumbar pad inside the back-rest is a sma
132,HEADREST,head-rest,6,15,Fixed head-rest tough for kids; booster cushi
132,CUSHION,cushion,40,47,-rest tough for kids; booster cushion would help families.
133,BACKREST,back-rest,18,27,Lumbar section of back-rest curves perfectly—no pillow ne
133,LUMBAR_SUPPORT,Lumbar,0,6,Lumbar section of back-rest curves p
134,CUSHION,Cushion,0,7,Cushion breathes through perforated l
134,MATERIAL,leather,36,43,n breathes through perforated leather—no sticky feel after nap.
135,TRAYTABLE,tray table,21,31,"Honestly, i love the tray table because it provides excellent"
136,TRAYTABLE,fold down table,27,42,"Unlike {alternative}, this fold down table {advantage} overall."
137,TRAYTABLE,work table,13,23,"Overall, the work table design includes {feature} whi"
138,TRAYTABLE,dining table,31,43,"ompared to {comparison}, this dining table is {comparison_result}"
139,TRAYTABLE,table,19,24,"Unfortunately, the table is {defect} for daily use rea"
140,TRAYTABLE,fold down table,30,45,"In my experience, i enjoy the fold down table because it provides excellent"
141,TRAYTABLE,fold-down table,26,41,"Honestly, i {dislike} the fold-down table because it {issue}"
142,TRAYTABLE,tray table,11,21,I love the tray table because it provides excellent
143,TRAYTABLE,tray,25,29,"Actually, {overall}, the tray is durable for daily use"
144,TRAYTABLE,fold down table,15,30,"{overall}, the fold down table is comfortable for comfort"
145,TRAYTABLE,tray table,22,32,"In my experience, the tray table has {technical_spec} that {te"
146,TRAYTABLE,work surface,4,16,The work surface {function} perfectly when wor
147,TRAYTABLE,work table,14,24,"Actually, the work table doesn't work properly and cre"
148,TRAYTABLE,folding table,19,32,"Unfortunately, the folding table is {defect} for work"
149,TRAYTABLE,tray table,34,44," a technical perspective, the tray table {technical_assessment}"
150,TRAYTABLE,table,4,9,The table is {comparative_adj} than {pr
151,TRAYTABLE,tray table,31,41,"ompared to {comparison}, this tray table is {comparison_result}"
152,TRAYTABLE,tray table,34,44," a technical perspective, the tray table {technical_assessment}"
153,TRAYTABLE,dining table,4,16,the dining table is {comparative_adj} than {pr
154,TRAYTABLE,tray table,41,51,"ompared to {comparison}, this tray table is {comparison_result}"
155,TRAYTABLE,fold down table,34,49," a technical perspective, the fold down table {technical_assessment}"
156,TRAYTABLE,dining table,15,27,"{overall}, the dining table is smooth for long trips."
157,TRAYTABLE,tray table,15,25,"{overall}, the tray table is comfortable for comfort in"
158,TRAYTABLE,tray,29,33,"Actually, unfortunately, the tray is {defect} for long trips"
159,TRAYTABLE,dining table,4,16,The dining table {function} perfectly when tra
160,TRAYTABLE,work table,31,41,"ompared to {comparison}, this work table is {comparison_result}"
161,TRAYTABLE,fold down table,31,46,"ompared to {comparison}, this fold down table is {comparison_result}"
162,TRAYTABLE,tray table,34,44," a technical perspective, the tray table {technical_assessment} overal"
163,TRAYTABLE,dining table,4,16,The dining table is {comparative_adj} than {pr
164,TRAYTABLE,tray,27,31,"Unlike {alternative}, this tray {advantage}"
165,TRAYTABLE,tray table,14,24,"Actually, the tray table design includes {feature} whi"
166,TRAYTABLE,fold down table,34,49," a technical perspective, the fold down table {technical_assessment}"
167,TRAYTABLE,work table,41,51,"ompared to {comparison}, this work table is {comparison_result}"
